Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1260,COLORANT GH AVATIN 1L,1,,14998,281.00,Buc,0.00,D-MARK TIC,14.09.2021
1261,COLORANT GX AVATIN 1L,1,,14999,281.00,Buc,0.00,D-MARK TIC,14.09.2021
1262,COLORANT MG AVATIN 1L,1,,15000,536.00,Buc,0.00,D-MARK TIC,14.09.2021
1263,COLORANT OM AVATINT 1L,1,6408070049242,14865,345.00,BIDON,0.00,D-MARK TIC,15.07.2021
1264,COLORANT OX AVATINT 1L,1,6408070050118,14864,179.00,BIDON,0.00,D-MARK TIC,15.07.2021
1265,COLORANT RH AVATIN 1L,1,,15001,536.00,Buc,0.00,D-MARK TIC,14.09.2021
1266,COLORANT RX AVATINT 1L,1,6408070049495,14863,179.00,BIDON,0.00,D-MARK TIC,15.07.2021
1267,COLORANT VM AVATIN 1L,1,,15002,281.00,Buc,0.00,D-MARK TIC,14.09.2021
1268,COLORANT WX AVATIN 1L,1,,15003,179.00,Buc,0.00,D-MARK TIC,14.09.2021
1269,COLORANT YE AVATINT 1L,1,6408070049525,14868,536.00,BIDON,0.00,D-MARK TIC,15.07.2021
1270,COLORANT YH AVATINT 1L,1,6408070049532,14867,281.00,BIDON,0.00,D-MARK TIC,15.07.2021
1271,COLORANT YX AVATINT 1L,1,6408070049549,14866,179.00,BIDON,0.00,D-MARK TIC,15.07.2021
1272,EMAIL UNICA AKVA ALBA 0.9L PE BAZA DE APA,1,6408070063149,14829,53.20,GAL,0.00,D-MARK TIC,14.07.2021
1273,EMAIL UNICA AKVA TR.0.9L PE BAZA DE APA,1,6408070063170,14830,62.00,BUC,0.00,D-MARK TIC,14.07.2021
1274,EMAIL UNICA AKVA TRS 2.7L PE BAZA DE APA,1,6408070063187,14878,194.00,CANIS,0.00,D-MARK TIC,15.07.2021
1275,EMAIL UNIKA AKVA ALBA 2.7LPE BAZA DE APA,1,6408070063156,14877,208.20,CANIS,0.00,D-MARK TIC,15.07.2021
1276,GALEATA ANZA 25L,1,9007912543053,16277,65.20,Buc,6.00,D-MARK TIC,23.11.2023
1277,GRUND HELMI PRIMER A 2.7 L,1,9007912543145,16291,222.50,GAL,0.00,D-MARK TIC,08.12.2023
1278,INTARITOR HARDNER P 300 2.5 L,1,9007912536383,15080,189.00,BUC,1.00,D-MARK TIC,30.09.2021
1279,INTARITOR TEMADUR HARDENER 20/50/90 0.45 LT,1,9007912547020,17106,119.00,GAL,0.00,D-MARK TIC,06.08.2025
1280,INTARITOR TEMAFLOOR 400  5 L,1,9007912536413,15083,510.00,BUC,0.00,D-MARK TIC,30.09.2021
1281,INTARITOR TEMAFLOOR P300 5L,1,6408070032473,15782,567.00,GAL,0.00,D-MARK TIC,11.01.2023
1282,MANER SUPORT GO18CM,1,7311490019087,14816,14.40,Buc,7.00,D-MARK TIC,13.07.2021
1283,MANER TRAFALET ANZA 18CM,1,7311490022896,14808,19.60,Buc,6.00,D-MARK TIC,13.07.2021
1284,MANER TRAFALET ANZA 23CM,1,7311490022476,14809,33.00,Buc,5.00,D-MARK TIC,13.07.2021
1285,MANER TRAFALET ELITE 18CM,1,7311490011876,14810,17.70,Buc,3.00,D-MARK TIC,13.07.2021
1286,MANER TRAFALET ELITE 23CM,1,7311490011883,14811,28.40,Buc,3.00,D-MARK TIC,13.07.2021
1287,MANER TRAFALET ELITE 41.5 CM,1,7311490041620,16328,79.40,Buc,0.00,D-MARK TIC,29.01.2024
1288,MANER TRAFALET ELITE 45CM,1,7311490030174,14815,107.60,Buc,2.00,D-MARK TIC,13.07.2021
1289,MANER TRAFALET LUNG ANZA,1,7311490013269,14814,18.30,Buc,1.00,D-MARK TIC,13.07.2021
1290,MANER TRAFALET MIJLOCIU 10-15CM,1,7311494885107,14812,11.40,Buc,3.00,D-MARK TIC,13.07.2021
1291,MANER TRAFALET MIJLOCIU ANZA,1,7311490013276,14813,16.00,Buc,4.00,D-MARK TIC,13.07.2021
1292,MANER TRAFALET SCURT GO,1,7311490019100,14817,8.90,Buc,0.00,D-MARK TIC,13.07.2021
1293,NET-TROL DETERGENT 1L@RESTAURATOR CULOARE PT LEMN,1,3297971008204,14891,49.00,BUC,0.00,D-MARK TIC,15.07.2021
1294,PENSULA ANZA BASIC 10CM,1,7311490034868,15119,24.20,Buc,0.00,D-MARK TIC,18.10.2021
1295,PENSULA ANZA ELITE PRO 150MM,1,7311490026245,14762,48.90,Buc,5.00,D-MARK TIC,13.07.2021
1296,PENSULA ANZA ELITE PRO 150MM,1,,14943,37.50,Buc,0.00,D-MARK TIC,04.08.2021
1297,PENSULA ANZA ELITE PRO 35MM,1,7311490031973,14763,20.80,Buc,4.00,D-MARK TIC,13.07.2021
1298,PENSULA ANZA ELITE PRO 50MM,1,7311490031980,14764,26.10,Buc,2.00,D-MARK TIC,13.07.2021
1299,PENSULA ANZA GO 120MM,1,7311490035674,14779,27.20,Buc,4.00,D-MARK TIC,13.07.2021
1300,PENSULA ANZA GO 25MM,1,7311490035513,14776,5.60,Buc,1.00,D-MARK TIC,13.07.2021
1301,PENSULA ANZA GO 35MM,1,7311490035520,14777,6.30,Buc,0.00,D-MARK TIC,13.07.2021
1302,PENSULA ANZA GO 70MM,1,7311490035544,14778,11.00,Buc,2.00,D-MARK TIC,13.07.2021
1303,PENSULA ANZA PLATINUM 10CM,1,7311490042061,15118,73.50,Buc,2.00,D-MARK TIC,18.10.2021
1304,PENSULA ANZA PLATINUM PRO 35MM,1,7311490035322,14756,26.80,Buc,0.00,D-MARK TIC,13.07.2021
